OBJECTID,Easting,Northing,Elevation,Bathydepth,Bathymeters,Included,Predicted,Error,absERROR
1,183597.538,562208.129,-12.291,-1.7177,-5.63543016,Yes,-12.1187194920694,0.172280507930592,0.172280507930592
2,183590.195,562208.074,-12.594,-2.0207,-6.62951256,Yes,-12.553601395508,0.040398604492005,0.040398604492005
3,183582.854,562207.837,-12.827,-2.2537,-7.39393896,Yes,-12.8877239348303,-0.060723934830323,0.060723934830323
4,183575.65,562207.653,-13.567,-2.9937,-9.82173096,Yes,-13.1999815220426,0.367018477957444,0.367018477957444
5,183568.238,562207.251,-13.167,-2.5937,-8.50941096,Yes,-13.2004338528831,-0.033433852883098,0.033433852883098
6,183558.508,562206.843,-13.299,-2.7257,-8.94247656,Yes,-13.1966918516276,0.102308148372396,0.102308148372396
7,183551.241,562206.855,-13.323,-2.7497,-9.02121576,Yes,-13.258672170484,0.064327829515962,0.064327829515962
8,183543.984,562206.56,-13.434,-2.8607,-9.38538456,Yes,-13.3257092532351,0.10829074676489,0.10829074676489
9,183536.636,562206.434,-13.61,-3.0367,-9.96280536,Yes,-13.3773871715857,0.232612828414336,0.232612828414336
10,183531.757,562206.177,-13.641,-3.0677,-10.06451016,Yes,-13.4362913412874,0.204708658712635,0.204708658712635
11,183563.462,562206.924,-13.208,-2.6347,-8.64392376,Yes,-13.2033707573906,0.004629242609385,0.004629242609385
12,183526.938,562206.067,-13.608,-3.0347,-9.95624376,Yes,-13.4842997598813,0.123700240118652,0.123700240118652
13,183519.703,562206.309,-13.763,-3.1897,-10.46476776,Yes,-13.5150353147032,0.247964685296807,0.247964685296807
14,183512.442,562205.698,-13.815,-3.2417,-10.63536936,Yes,-13.5400893130638,0.274910686936213,0.274910686936213
15,183505.133,562205.393,-13.706,-3.1327,-10.27776216,Yes,-13.3757283650222,0.330271634977802,0.330271634977802
16,183497.858,562205.195,-13.13,-2.5567,-8.38802136,Yes,-12.9235066945682,0.206493305431826,0.206493305431826
17,183490.578,562204.807,-12.647,-2.0737,-6.80339496,Yes,-12.5342489002825,0.112751099717537,0.112751099717537
18,183484.948,562204.737,-12.073,-1.4997,-4.92021576,Yes,-12.0414865229637,0.03151347703632,0.03151347703632
19,183486.693,562217.137,-12.28,-1.7067,-5.59934136,Yes,-12.2896860535834,-0.009686053583371,0.009686053583371
20,183493.865,562217.277,-13.281,-2.7077,-8.88342216,Yes,-13.1110279326411,0.169972067358852,0.169972067358852
21,183501.271,562217.15,-13.826,-3.2527,-10.67145816,Yes,-13.6832950264044,0.142704973595645,0.142704973595645
22,183508.54,562217.607,-13.945,-3.3717,-11.06187336,Yes,-13.7708619452265,0.174138054773524,0.174138054773524
23,183515.832,562217.477,-13.925,-3.3517,-10.99625736,Yes,-13.7570621416126,0.167937858387443,0.167937858387443
24,183523.209,562217.075,-14.147,-3.5737,-11.72459496,Yes,-13.7358462168398,0.411153783160247,0.411153783160247
25,183530.3,562217.346,-14.169,-3.5957,-11.79677256,Yes,-13.7128329592642,0.456167040735775,0.456167040735775
26,183537.597,562217.225,-14.027,-3.4537,-11.33089896,Yes,-13.677809648301,0.349190351699015,0.349190351699015
27,183544.919,562216.773,-13.822,-3.2487,-10.65833496,Yes,-13.6327584213876,0.189241578612393,0.189241578612393
28,183552.21,562217.336,-13.691,-3.1177,-10.22855016,Yes,-13.5787767419278,0.112223258072191,0.112223258072191
29,183559.407,562217.753,-13.668,-3.0947,-10.15309176,Yes,-13.5761968789784,0.091803121021609,0.091803121021609
30,183566.745,562216.838,-13.55,-2.9767,-9.76595736,Yes,-13.4695957709607,0.080404229039345,0.080404229039345
31,183566.72,562217.212,-13.513,-2.9397,-9.64456776,Yes,-13.4752710536994,0.037728946300552,0.037728946300552
32,183573.969,562216.919,-13.458,-2.8847,-9.46412376,Yes,-13.3932376194916,0.064762380508421,0.064762380508421
33,183581.29,562216.909,-13.393,-2.8197,-9.25087176,Yes,-13.301084330582,0.091915669418034,0.091915669418034
34,183588.472,562216.868,-12.971,-2.3977,-7.86637416,Yes,-12.9345062285586,0.036493771441439,0.036493771441439
35,183595.84,562216.873,-12.61,-2.0367,-6.68200536,Yes,-12.4961789140152,0.113821085984791,0.113821085984791
36,183603.26,562216.839,-12.12,-1.5467,-5.07441336,Yes,-11.9120841668627,0.207915833137347,0.207915833137347
37,183598.178,562223.7,-12.503,-1.9297,-6.33095976,Yes,-12.314194780916,0.188805219083978,0.188805219083978
38,183590.826,562223.305,-12.964,-2.3907,-7.84340856,Yes,-12.8781205497912,0.085879450208841,0.085879450208841
39,183583.595,562223.609,-13.396,-2.8227,-9.26071416,Yes,-13.3002109602964,0.095789039703597,0.095789039703597
40,183576.305,562223.718,-13.725,-3.1517,-10.34009736,Yes,-13.4846265369829,0.240373463017125,0.240373463017125
41,183569.021,562223.148,-13.622,-3.0487,-10.00217496,Yes,-13.5548216297752,0.067178370224763,0.067178370224763
42,183561.725,562223.074,-13.882,-3.3087,-10.85518296,Yes,-13.6450700810512,0.236929918948833,0.236929918948833
43,183554.389,562223.131,-13.796,-3.2227,-10.57303416,Yes,-13.6503081341473,0.145691865852729,0.145691865852729
44,183547.202,562222.961,-13.903,-3.3297,-10.92407976,Yes,-13.6832502834527,0.219749716547302,0.219749716547302
45,183539.953,562223.216,-14.11,-3.5367,-11.60320536,Yes,-13.7147065367269,0.395293463273131,0.395293463273131
46,183532.594,562223.085,-14.161,-3.5877,-11.77052616,Yes,-13.7469776673909,0.414022332609063,0.414022332609063
47,183525.21,562222.72,-14.049,-3.4757,-11.40307656,Yes,-13.772398670866,0.27660132913403,0.27660132913403
48,183518.022,562222.815,-14.046,-3.4727,-11.39323416,Yes,-13.7780793720306,0.267920627969438,0.267920627969438
49,183508.338,562222.963,-14.153,-3.5797,-11.74427976,Yes,-13.7716779878695,0.381322012130521,0.381322012130521
50,183496.255,562222.878,-13.599,-3.0257,-9.92671656,Yes,-13.3721534220829,0.226846577917078,0.226846577917078
51,183489.019,562222.41,-12.655,-2.0817,-6.82964136,Yes,-12.6265548665115,0.028445133488473,0.028445133488473
52,183484.09,562222.264,-11.971,-1.3977,-4.58557416,Yes,-11.9459965207329,0.025003479267078,0.025003479267078
53,183490.554,562229.029,-12.824,-2.2507,-7.38409656,Yes,-12.7199928281482,0.104007171851787,0.104007171851787
54,183497.905,562229.039,-13.811,-3.2377,-10.62224616,Yes,-13.5004148659957,0.310585134004313,0.310585134004313
55,183505.198,562229.554,-14.139,-3.5657,-11.69834856,Yes,-13.7362025713134,0.402797428686567,0.402797428686567
56,183512.299,562229.284,-14.028,-3.4547,-11.33417976,Yes,-13.762637030837,0.265362969162975,0.265362969162975
57,183519.616,562229.642,-14.028,-3.4547,-11.33417976,Yes,-13.7532215497212,0.274778450278808,0.274778450278808
58,183526.927,562229.195,-14.263,-3.6897,-12.10516776,Yes,-13.805437349214,0.457562650786022,0.457562650786022
59,183534.034,562229.987,-14.177,-3.6037,-11.82301896,Yes,-13.7872991224038,0.38970087759624,0.389700877596241
60,183541.292,562229.982,-14.096,-3.5227,-11.55727416,Yes,-13.7683226797815,0.327677320218525,0.327677320218525
61,183548.516,562229.421,-14.049,-3.4757,-11.40307656,Yes,-13.747070998358,0.301929001642018,0.301929001642018
62,183555.787,562230.117,-14.046,-3.4727,-11.39323416,Yes,-13.7264921379534,0.319507862046578,0.319507862046578
63,183562.957,562229.708,-13.952,-3.3787,-11.08483896,Yes,-13.7026735730099,0.249326426990102,0.249326426990102
64,183570.301,562230.684,-13.87,-3.2967,-10.81581336,Yes,-13.6191481975088,0.250851802491212,0.250851802491212
65,183577.525,562231.045,-13.864,-3.2907,-10.79612856,Yes,-13.5003407252142,0.363659274785823,0.363659274785823
66,183584.69,562231.09,-13.447,-2.8737,-9.42803496,Yes,-13.2322572234061,0.214742776593861,0.214742776593861
67,183591.69,562230.956,-12.982,-2.4087,-7.90246296,Yes,-12.8011654784417,0.180834521558305,0.180834521558305
68,183598.889,562231.462,-12.394,-1.8207,-5.97335256,Yes,-12.1953929373961,0.198607062603854,0.198607062603854
69,183601.342,562223.831,-12.297,-1.7237,-5.65511496,Yes,-12.057314289832,0.239685710167965,0.239685710167965
70,183594.071,562223.941,-12.812,-2.2387,-7.34472696,Yes,-12.6493008923893,0.162699107610663,0.162699107610663
71,183586.736,562223.384,-13.223,-2.6497,-8.69313576,Yes,-13.137349110278,0.085650889722018,0.085650889722018
72,183579.665,562223.265,-13.616,-3.0427,-9.98249016,Yes,-13.4664190190497,0.149580980950292,0.149580980950292
73,183572.399,562222.888,-13.652,-3.0787,-10.10059896,Yes,-13.5043641813517,0.147635818648268,0.147635818648268
74,183564.72,562223.375,-13.83,-3.2567,-10.68458136,Yes,-13.6129106988887,0.217089301111308,0.217089301111308
75,183560.243,562223.087,-13.898,-3.3247,-10.90767576,Yes,-13.644998658274,0.253001341726018,0.253001341726018
76,183555.278,562223.419,-13.827,-3.2537,-10.67473896,Yes,-13.6517030168221,0.175296983177866,0.175296983177866
77,183547.937,562222.926,-13.904,-3.3307,-10.92736056,Yes,-13.6780888462805,0.22591115371954,0.22591115371954
78,183540.851,562223.015,-14.136,-3.5627,-11.68850616,Yes,-13.7097371200643,0.426262879935701,0.426262879935701
79,183533.45,562222.792,-14.149,-3.5757,-11.73115656,Yes,-13.7424238432581,0.406576156741883,0.406576156741883
80,183528.593,562222.782,-14.163,-3.5897,-11.77708776,Yes,-13.763547428958,0.399452571042051,0.399452571042051
81,183521.113,562223.109,-14.174,-3.6007,-11.81317656,Yes,-13.7782247270284,0.395775272971626,0.395775272971626
82,183514.038,562223.375,-14.226,-3.6527,-11.98377816,Yes,-13.7751764472129,0.450823552787117,0.450823552787117
83,183506.575,562223.459,-14.228,-3.6547,-11.99033976,Yes,-13.754145779867,0.473854220133038,0.473854220133038
84,183499.446,562222.755,-13.875,-3.3017,-10.83221736,Yes,-13.6215504123165,0.253449587683482,0.253449587683482
85,183494.43,562223.285,-13.396,-2.8227,-9.26071416,Yes,-13.1868713358757,0.209128664124293,0.209128664124293
86,183489.36,562222.577,-12.755,-2.1817,-7.15772136,Yes,-12.6658542815957,0.089145718404307,0.089145718404307
87,183485.572,562222.54,-12.205,-1.6317,-5.35328136,Yes,-12.1679882243162,0.037011775683757,0.037011775683757
88,183483.597,562222.42,-12.001,-1.4277,-4.68399816,Yes,-11.8676210157242,0.133378984275774,0.133378984275774
89,183484.649,562236.611,-12.113,-1.5397,-5.05144776,Yes,-11.9654842922946,0.147515707705411,0.147515707705411
90,183491.907,562236.792,-13.015,-2.4417,-8.01072936,Yes,-12.7982102047133,0.216789795286672,0.216789795286672
91,183499.405,562236.973,-13.888,-3.3147,-10.87486776,Yes,-13.5933945578537,0.294605442146317,0.294605442146317
92,183506.607,562236.657,-14.212,-3.6387,-11.93784696,Yes,-13.7591254496117,0.452874550388293,0.452874550388293
93,183513.899,562236.522,-14.124,-3.5507,-11.64913656,Yes,-13.7697357727058,0.354264227294237,0.354264227294237
94,183521.155,562236.061,-13.497,-2.9237,-9.59207496,Yes,-13.751654125329,-0.254654125329031,0.254654125329031
95,183528.402,562235.85,-14.305,-3.7317,-12.24296136,Yes,-13.8351059653824,0.469894034617624,0.469894034617624
96,183535.376,562237.586,-14.222,-3.6487,-11.97065496,Yes,-13.8067554136221,0.415244586377854,0.415244586377854
97,183542.997,562237.609,-14.228,-3.6547,-11.99033976,Yes,-13.8209085412356,0.407091458764368,0.407091458764368
98,183550.088,562236.409,-14.26,-3.6867,-12.09532536,Yes,-13.7916809384887,0.468319061511272,0.468319061511272
99,183557.373,562236.867,-14.096,-3.5227,-11.55727416,Yes,-13.7021585882938,0.393841411706244,0.393841411706244
100,183564.754,562237.322,-14.084,-3.5107,-11.51790456,Yes,-13.6649907933495,0.41900920665055,0.41900920665055
101,183572.078,562238.164,-13.806,-3.2327,-10.60584216,Yes,-13.5646047226339,0.241395277366136,0.241395277366136
102,183579.299,562238.155,-13.582,-3.0087,-9.87094296,Yes,-13.4035849636641,0.178415036335934,0.178415036335934
103,183586.562,562237.786,-13.125,-2.5517,-8.37161736,Yes,-13.0627044407415,0.06229555925853,0.06229555925853
104,183593.672,562237.978,-12.665,-2.0917,-6.86244936,Yes,-12.5475049421276,0.117495057872393,0.117495057872393
105,183600.754,562238.708,-12.153,-1.5797,-5.18267976,Yes,-11.9755121079207,0.17748789207935,0.17748789207935
106,183602.791,562245.678,-11.915,-1.3417,-4.40184936,Yes,-11.7952687425373,0.11973125746267,0.11973125746267
107,183595.541,562245.432,-12.402,-1.8287,-5.99959896,Yes,-12.2769045633193,0.125095436680747,0.125095436680747
108,183588.326,562244.192,-12.91,-2.3367,-7.66624536,Yes,-12.7987221428785,0.111277857121477,0.111277857121477
109,183581.125,562244.677,-13.343,-2.7697,-9.08683176,Yes,-13.2106966075401,0.132303392459939,0.132303392459939
110,183573.935,562245.111,-13.635,-3.0617,-10.04482536,Yes,-13.3992660370256,0.235733962974372,0.235733962974372
111,183566.847,562244.23,-13.752,-3.1787,-10.42867896,Yes,-13.5230766814195,0.228923318580525,0.228923318580526
112,183559.533,562244.404,-13.515,-2.9417,-9.65112936,Yes,-13.4741766140217,0.040823385978285,0.040823385978285
113,183552.377,562243.655,-13.556,-2.9827,-9.78564216,Yes,-13.5068606713835,0.049139328616501,0.049139328616501
114,183544.864,562242.944,-14.288,-3.7147,-12.18718776,Yes,-13.8243756523288,0.463624347671191,0.463624347671191
115,183537.757,562243.664,-13.75,-3.1767,-10.42211736,Yes,-13.8210792299405,-0.071079229940491,0.071079229940491
116,183530.341,562244.029,-14.05,-3.4767,-11.40635736,Yes,-13.7803628509727,0.269637149027321,0.269637149027321
117,183523.518,562243.979,-13.946,-3.3727,-11.06515416,Yes,-13.7576581280567,0.188341871943283,0.188341871943283
118,183516.128,562243.245,-14.403,-3.8297,-12.56447976,Yes,-13.832360513063,0.570639486936981,0.570639486936981
